2012-07-11 10:50:53:179		Notify: 	TransType: 	

2012-07-11 10:51:57:543		Notify: 	TransType: 	

2012-07-11 11:04:34:263		Notify: 	TransType: 	

2012-07-11 11:05:18:452		Notify: 	TransType: 	

2012-07-11 11:08:06:331		Notify: 	TransType: 	

2012-07-11 11:11:47:70		Notify: 	TransType: 	

2012-07-11 11:45:06:254		Notify: 	TransType: 	

2012-07-11 11:48:12:248		Notify: 	TransType: 	

2012-07-11 11:49:57:289		Notify: 	TransType: 	

2012-07-11 13:26:50:469		Notify: 	TransType: 	

2012-07-11 13:30:43:489		Notify: 	TransType: 	

2012-07-11 13:32:12:244		Notify: 	TransType: 	

2012-07-11 13:35:40:340		Notify: 	TransType: 	

2012-07-11 13:39:00:427		Notify: 	TransType: 	

2012-07-11 13:42:24:961		Notify: 	TransType: 	

2012-07-11 13:59:37:709		Notify: 	TransType: 	

2012-07-11 14:02:16:571		Notify: 	TransType: 	

2012-07-11 14:03:02:709		Notify: 	TransType: 	

2012-07-11 14:11:38:586		Notify: 	TransType: 	

2012-07-11 14:18:01:839		Notify: 	TransType: 	

2012-07-11 14:23:32:984		Notify: 	TransType: 	

2012-07-11 14:32:28:674		Notify: 	TransType: 	

2012-07-11 15:04:12:73		Notify: 	TransType: 	

2012-07-11 15:04:58:846		Notify: 	TransType: 	

2012-07-11 16:44:28:243		Notify: 	TransType: 	

2012-07-11 17:03:47:648		Notify: 	TransType: 	

2012-07-11 17:05:31:989		Notify: 	TransType: 	

2012-07-11 17:12:23:714		Notify: 	TransType: 	

2012-07-11 17:30:22:866		Notify: 	TransType: 	

2012-07-11 18:46:42:23		Notify: 	TransType: 	

